,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,,,
CM, 13 , 25 , 4 , 7 , 32 , 8 , 21 , 69 , 123 , 11 , 7 , 13 , 9 , 11 , 7 , 3 , 4 , 7 , 26 , 12 , 21 , 6 , 3 , 5 , 14 , 820 ," 1,027 ", 618 , 465 , 131 , 113 , 47 , 78 , 34 , 13 , 2 , 15 , 6 , 33 , 17 , 42 , 130 , 84 , 5 , 2 , 2 ," 4,142 ",,,,,,,,,,,,,
CV, 3 , 7 , 4 , 8 , 46 , 8 , 19 , 66 , 105 , 104 , 52 , 39 , 35 , 46 , 17 , 13 , 16 , 28 , 7 , 6 , 6 , 2 , 3 , 5 , 12 , 527 , 564 , 281 , 248 , 70 , 31 , 20 , 21 , 32 , 3 , 8 , 99 , 1 , 1 , 5 , 6 , 21 , 5 , 68 , 7 , 11 ," 2,687 ",,,,,,,,,,,,,
ED, 18 , 31 , 15 , 14 , 114 , 23 , 69 , 227 , 231 , 167 , 136 , 114 , 90 , 141 , 60 , 35 , 53 , 69 , 7 , 4 , 7 , 2 , 2 , 9 , 29 ," 1,922 "," 1,801 ", 707 , 636 , 210 , 85 , 69 , 72 , 95 , 16 , 108 , 36 , 3 , 10 , 24 , 15 , 122 , 19 , 41 , 63 , 18 ," 7,741 ",,,,,,,,,,,,,
NC, 2 , 5 , 4 , 4 , 43 , 8 , 63 , 168 , 162 , 10 , 10 , 13 , 8 , 5 , 12 , 3 , 4 , 7 , 39 , 36 , 53 , 11 , 6 , 29 , 6 , 465 , 474 , 264 , 281 , 79 , 42 , 19 , 23 , 39 , 6 , 1 , 2 , 11 , 48 , 9 , 15 , 58 , 12 , 1 , 11 , 3 ," 2,572 ",,,,,,,,,,,,,
WP, 37 , 31 , 12 , 17 , 108 , 29 , 266 , 282 , 334 , 48 , 55 , 91 , 36 , 22 , 60 , 16 , 19 , 36 , 278 , 138 , 233 , 39 , 25 , 69 , 40 , 785 , 748 , 705 , 648 , 220 , 160 , 87 , 88 , 117 , 34 , 3 , 10 , 49 , 37 , 39 , 47 , 173 , 38 , 6 , 30 , 22 ," 6,366 ",,,,,,,,,,,,,
SS, 12 , 33 , 9 , 8 , 34 , 11 , 29 , 69 , 88 , 12 , 14 , 25 , 18 , 12 , 9 , 4 , 6 , 4 , 26 , 27 , 23 , 5 , 9 , 13 , 16 , 616 , 796 , 453 , 391 , 120 , 108 , 37 , 70 , 70 , 16 , 3 , 21 , 9 , 38 , 14 , 26 , 58 , 69 , 7 , 2 , 2 ," 3,442 ",,,,,,,,,,,,,
SB, 20 , 44 , 10 , 10 , 37 , 14 , 26 , 71 , 82 , 19 , 26 , 29 , 16 , 15 , 14 , 5 , 4 , 7 , 21 , 28 , 22 , 7 , 7 , 12 , 24 , 624 , 729 , 419 , 339 , 127 , 110 , 61 , 111 , 114 , 42 , 6 , 13 , 14 , 48 , 26 , 14 , 60 , 43 , 4 , 4 , 2 ," 3,483 ",,,,,,,,,,,,,
SO, 54 , 106 , 57 , 77 , 105 , 51 , 95 , 86 , 112 , 37 , 56 , 32 , 40 , 28 , 19 , 19 , 19 , 26 , 122 , 145 , 158 , 76 , 75 , 111 , 110 , 321 , 351 , 609 , 286 , 133 , 108 , 80 , 94 , 169 , 118 , 18 , 100 , 62 , 171 , 48 , 51 , 53 , 205 , 30 , 11 , 11 ," 4,844 ",,,,,,,,,,,,,
MB, 30 , 72 , 30 , 38 , 132 , 38 , 70 , 134 , 141 , 18 , 29 , 23 , 7 , 12 , 8 , 5 , 3 , 4 , 26 , 20 , 24 , 10 , 14 , 22 , 35 ," 1,015 "," 1,321 ", 640 , 523 , 223 , 183 , 115 , 161 , 227 , 87 , 4 , 22 , 12 , 33 , 66 , 34 , 262 , 39 , 4 , 6 , 1 ," 5,924 ",,,,,,,,,,,,,
WD, 5 , 15 , 8 , 9 , 48 , 12 , 28 , 115 , 121 , 87 , 60 , 61 , 55 , 83 , 39 , 17 , 21 , 26 , 2 , 2 , 1 , 1 , 1 , 5 , 12 , 834 , 758 , 314 , 287 , 82 , 40 , 27 , 26 , 41 , 4 , 75 , 45 , 1 , 5 , 8 , 5 , 41 , 5 , 15 , 28 , 5 ," 3,482 ",,,,,,,,,,,,,
OA, 11 , 29 , 21 , 30 , 43 , 18 , 20 , 35 , 40 , 13 , 7 , 23 , 8 , 6 , 8 , 7 , 15 , 19 , 25 , 39 , 31 , 17 , 11 , 12 , 6 , 134 , 105 , 71 , 52 , 17 , 17 , 10 , 7 , 10 , 1 , 7 , 57 , 8 , 27 , 2 , 3 , 16 , 4 , 25 , 4 , 6 ," 1,074 ",,,,,,,,,,,,,
WS, 8 , 30 , 11 , 15 , 87 , 23 , 35 , 110 , 91 , 85 , 57 , 79 , 45 , 57 , 71 , 37 , 30 , 33 , 11 , 10 , 7 , 2 , 3 , 9 , 13 , 660 , 675 , 252 , 250 , 55 , 22 , 14 , 15 , 25 , 1 , 9 , 19 , 3 , 23 , 2 , 2 , 16 , 1 , 5 , 8 , 26 ," 3,042 ",,,,,,,,,,,,,
